ListeriaNumber;HamTopping
24100;HamT1
120000;HamT1
961100;HamT1
17100;HamT1
81000;HamT1
111000;HamT1
260600;HamT1
63900;HamT1
371500;HamT2
15900;HamT2
36400;HamT2
84000;HamT2
10900;HamT2
4200;HamT2
275300;HamT2
600;HamT2
124500;HamT3
35700;HamT3
151900;HamT3
64200;HamT3
751500;HamT3
5700;HamT3
357400;HamT3
614100;HamT3
2788500;HamT4
72900;HamT4
5618400;HamT4
1142700;HamT4
8964000;HamT4
4253700;HamT4
8283100;HamT4
4442800;HamT4
253600;HamT5
33700;HamT5
16200;HamT5
21200;HamT5
4000;HamT5
13500;HamT5
22400;HamT5
35700;HamT5
472500;HamT6
45700;HamT6
239500;HamT6
14050000;HamT6
2101200;HamT6
15994100;HamT6
530500;HamT6
729400;HamT6
